Catoregy, path
crossonlyatcrosswalks, /TrafficSign DataSet/crossonlyatcrosswalks/original1.png
crossonlyatcrosswalks, /TrafficSign DataSet/crossonlyatcrosswalks/noice-9-1.png
crossonlyatcrosswalks, /TrafficSign DataSet/crossonlyatcrosswalks/noice-10-1.png
crossonlyatcrosswalks, /TrafficSign DataSet/crossonlyatcrosswalks/noice-12-1.png
crossonlyatcrosswalks, /TrafficSign DataSet/crossonlyatcrosswalks/noice-8-1.png
crossonlyatcrosswalks, /TrafficSign DataSet/crossonlyatcrosswalks/greyScaleImage1.png
crossonlyatcrosswalks, /TrafficSign DataSet/crossonlyatcrosswalks/noice-11-1.png
crossonlyatcrosswalks, /TrafficSign DataSet/crossonlyatcrosswalks/noice-2-1.png
crossonlyatcrosswalks, /TrafficSign DataSet/crossonlyatcrosswalks/noice-6-1.png
crossonlyatcrosswalks, /TrafficSign DataSet/crossonlyatcrosswalks/noice-4-1.png
crossonlyatcrosswalks, /TrafficSign DataSet/crossonlyatcrosswalks/noice-3-1.png
crossonlyatcrosswalks, /TrafficSign DataSet/crossonlyatcrosswalks/noice-1-1.png
crossonlyatcrosswalks, /TrafficSign DataSet/crossonlyatcrosswalks/noice-5-1.png
crossonlyatcrosswalks, /TrafficSign DataSet/crossonlyatcrosswalks/noice-7-1.png
endworkzonespeedlimit, /TrafficSign DataSet/endworkzonespeedlimit/original1.png
endworkzonespeedlimit, /TrafficSign DataSet/endworkzonespeedlimit/noice-9-1.png
endworkzonespeedlimit, /TrafficSign DataSet/endworkzonespeedlimit/noice-10-1.png
endworkzonespeedlimit, /TrafficSign DataSet/endworkzonespeedlimit/noice-12-1.png
endworkzonespeedlimit, /TrafficSign DataSet/endworkzonespeedlimit/noice-8-1.png
endworkzonespeedlimit, /TrafficSign DataSet/endworkzonespeedlimit/greyScaleImage1.png
endworkzonespeedlimit, /TrafficSign DataSet/endworkzonespeedlimit/noice-11-1.png
endworkzonespeedlimit, /TrafficSign DataSet/endworkzonespeedlimit/noice-2-1.png
endworkzonespeedlimit, /TrafficSign DataSet/endworkzonespeedlimit/noice-6-1.png
endworkzonespeedlimit, /TrafficSign DataSet/endworkzonespeedlimit/noice-4-1.png
